cdi,pl,lo,pn,ld,t,cb,ct,c,fr,hr,lc,lt,situation,id
"7675866815892","Personal Auto Line","open","@!C@$L# Y 1#67 @5!1@#8@$B$@G","21.02.2020","","Kent Financial Group","high","GBP","non-fault","web","I decided to test the strength of a chair by standing on it, but it collapsed, and I fell onto the floor.","motor","SCO","26.07.2023 21:45:43"
"5097426327288","Commercial Auto Line","open","#C@LY@ 43#@6!$0 02$ Q F","27.10.2019","04.02.2026 17:51:11","Dundee Derivatives Brokers","medium","GBP","fault","phone","I thought it would be funny to dress up as a superhero and attempt to fly off a low roof, but I ended up crash-landing into a bush.","motor","NIR","26.07.2023 21:45:43"
"3163364665166","Commercial Auto Line","closed"," !C!#L@$Y1$!0!$8!@98!$3#!H#@Y","13.06.2019","09.02.2026 06:09:20","Southampton Stock Exchange","low","EUR","not applicable","web","","motor","NIR","26.07.2023 21:45:43"
"7069816105447","Commercial Auto Line","closed"," @C$ L@Y 3! 4$ 7$ 5@#78 @L!O","04.12.2020","22.09.2025 16:39:33","Union Street Securities","high","EUR","fault","phone","I thought it would be funny to challenge my friends to a race in a supermarket using shopping carts, but we ended up crashing into a display of canned soup.","motor","NIR","26.07.2023 21:45:43"
"3924099950385","Property","open","$C#L# Y5!9 #0@#3$#90@ K$#P","25.07.2019","18.08.2024 22:20:58","Cardiff Capital Market Solutions","low","EUR","unknown","web","I attempted to fix a leaky faucet with duct tape, but the pressure built up and caused a small water explosion in my bathroom.","motor","WAL","26.07.2023 21:45:43"
"7582127149813","Property","open","#$CL$ Y$#4$ 8#$5@1@6! 6@!C#$G","16.04.2022","05.03.2024 14:22:42","Liverpool Investment Services","high","GBP","not applicable","phone","I decided to test the durability of a watermelon by dropping it from a balcony, but it shattered upon impact and made a mess on the sidewalk.","motor","SCO","26.07.2023 21:45:43"
"6485086584383","Road Risks","open","C$@L!Y$!245@!8 $3#$6!$I @O","05.06.2020","04.05.2026 11:16:05","Norfolk Investment Solutions","high","GBP","fault","phone","I decided to test the durability of my phone by tossing it in the air and attempting to catch it, but I missed and it landed in a puddle.","motor","ENG","26.07.2023 21:45:43"
"4184638519519","Road Risks","closed","#C$#L$#Y$#71!#2!$4@0@!5@$T#O","01.05.2023","07.11.2023 10:22:10","Glasgow Growth Fund","high","EUR","unknown","web","I decided to test the slipperiness of a banana peel by stepping on it, but it sent me sliding across the floor and crashing into a bookshelf.","motor","WAL","26.07.2023 21:45:43"
"261014483751","Commercial Auto Line","closed","!@CL$ Y#13 @2!#89$9@#A!H","30.05.2022","09.08.2025 14:02:44","Glasgow Global Investments","medium","GBP","non-fault","web","","motor","ENG","26.07.2023 21:45:43"
"4332249321178","Property","open","C$!L# Y# 3$#2$@0 @4#!56 !Q @O","05.03.2023","31.01.2024 14:44:41","Aberdeen Asset Management","low","GBP","fault","phone","","motor","ENG","26.07.2023 21:45:43"
"923782067153","Personal Auto Line","closed","$!CLY@#5#57#@8#@5@#7Q# N","12.05.2022","","Dundee Derivatives Brokers","medium","GBP","unknown","mail","I decided to test the strength of a piñata by using a baseball bat, but I swung too hard and accidentally hit my neighbor's car.","motor","WAL","26.07.2023 21:45:43"
"9275840808257","Personal Auto Line","open","C@L$Y$@546!9#$11!U#@L","11.08.2018","11.07.2025 04:57:50","Bristol Bond Brokers","low","","non-fault","phone","I thought it would be funny to dress up as a superhero and attempt to fly off a swing, but I ended up face-planting into the ground.","motor","NIR","26.07.2023 21:45:43"
"4236936114521","Commercial Auto Line","open","!@C# L@#Y!@01@2! 7@$6# 0@#GC","30.01.2023","10.09.2025 17:00:02","Glasgow Glen Securities","low","EUR","not applicable","phone","I decided to test the slipperiness of a banana peel by stepping on it, but it sent me sliding across the floor and crashing into a bookshelf.","motor","SCO","26.07.2023 21:45:43"
"4986646196263","","closed","#CL@Y@!679 $4@!83I !V","","19.12.2023 10:32:52","Birmingham Bond Market","low","GBP","non-fault","web","While trying to take a selfie with a statue, I accidentally knocked it over and broke it into pieces.","motor","SCO","26.07.2023 21:45:43"
"7419281170801","Commercial Auto Line","closed","@C@#L@ Y#!9$#2#@5! 9#@42!Z #X","10.09.2022","06.07.2025 17:24:38","Glasgow Global Investments","medium","EUR","unknown","phone","I decided to test the endurance of my running shoes by participating in a marathon, but they fell apart halfway through the race.","motor","SCO","26.07.2023 21:45:43"
"9475855953404","Property","closed","C !LY@9@$0 !7! 8#@3 @5O@T","23.06.2020","27.03.2025 21:53:35","Liverpool Lenders","","GBP","not applicable","phone","I thought it would be funny to dress up as a superhero and attempt to fly off a low roof, but I ended up crash-landing into a bush.","motor","SCO","26.07.2023 21:45:43"
"9661011857406","Personal Auto Line","closed","C@L!$Y!@88 !8#@6$ 2@!8$!J@!A","17.05.2021","11.03.2026 08:05:42","Dundee Derivatives Market","low","EUR","unknown","phone","I decided to test the stickiness of super glue by repairing my broken glasses, only to glue them to my forehead.","","WAL","26.07.2023 21:45:43"
"108997045268","Commercial Auto Line","open"," #C#$LY!$04$@0!$4 !43QT","21.08.2021","25.11.2026 12:23:13","Cardiff Capital Consultants","medium","GBP","fault","web","I thought it would be fun to use roller skates instead of shoes for a day, but I ended up falling down the stairs.","motor","NIR","26.07.2023 21:45:43"
"9157350560105","Road Risks","open","$ C #L#$Y!2$8$ 8$#1# 1$!1 $RS","03.09.2021","18.01.2024 22:31:03","Union Street Securities","high","GBP","non-fault","web","While playing a game of Frisbee, I accidentally threw it onto the roof and attempted to retrieve it by climbing up a tree, only to get stuck.","motor","ENG","26.07.2023 21:45:43"
"888728658113","Commercial Auto Line","closed","CL!@Y!@4#@98!@836C!@V","18.08.2019","09.07.2024 05:56:56","Liverpool Leveraged Finance","high","EUR","unknown","phone","While trying to take a selfie with a statue, I accidentally knocked it over and broke it into pieces.","motor","WAL","26.07.2023 21:45:43"
"5415802092219","Property","closed","@!C@$L@#Y2@#4# 5$8$7#8@$G$ H","24.10.2022","08.02.2025 02:21:36","Leeds Lending Services","high","EUR","","phone","I decided to test the durability of a watermelon by dropping it from a balcony, but it shattered upon impact and made a mess on the sidewalk.","motor","ENG","26.07.2023 21:45:43"
"2280304428097","Commercial Auto Line","open","C L$Y @441@!8$#3$!0O $K","04.05.2022","04.04.2024 17:42:25","Manchester Money Lenders","medium","GBP","fault","phone","","motor","NIR","26.07.2023 21:45:43"
"7726202384343","Property","closed"," $C !L#!Y #4#4#$2 !0#@1! 3#@C @K","27.11.2020","25.10.2023 04:34:12","Cambridge Corporate Finance","","EUR","non-fault","phone","While trying to show off my basketball skills, I attempted a slam dunk and shattered the backboard.","motor","WAL","26.07.2023 21:45:43"
"6316903556275","Property","","@!C L $Y@#5$#0209$!0!$F! L","05.04.2020","30.11.2027 03:32:59","Kent Financial Group","low","EUR","fault","web","","motor","NIR","26.07.2023 21:45:43"
"8914095546104","Personal Auto Line","open","@$CLY! 1@!1!@4#1@#70 E@E","04.03.2023","16.04.2025 20:20:51","Cambridge Currency Traders","high","GBP","unknown","phone","I decided to test the stability of a ladder by standing on the very top, but it wobbled and I fell off.","motor","ENG","26.07.2023 21:45:43"
"4153738884668","Commercial Auto Line","open","C$ L Y@5 $3 !6$#5 58#@M X","12.12.2020","","Union Street Securities","low","GBP","non-fault","phone","I thought it would be entertaining to have a water gun fight in the living room, but we ended up soaking all the furniture.","motor","ENG","26.07.2023 21:45:43"
"8225029628707","Road Risks","open","C!L!@Y#@30#!789 $7#QQ","09.10.2018","28.06.2025 01:56:49","Belfast Bridge Street Brokers","medium","EUR","unknown","mail","While trying to show off my basketball skills, I attempted a slam dunk and shattered the backboard.","motor","ENG","26.07.2023 21:45:43"
"3154915236188","Property","","@#CLY7@ 9271!$2J# D","23.06.2019","13.09.2023 07:11:02","Liverpool Loan Traders","medium","GBP","unknown","web","I decided to test the heat resistance of my hairdryer by pointing it at a lit candle, resulting in a singed hairstyle and a burnt hairdryer.","motor","NIR","26.07.2023 21:45:43"
"3688357295023","Property","","!C$ L#Y@#9@4#@1!@2@$9$ 7@#GM","26.05.2023","25.09.2025 22:09:09","Liverpool Loan Traders","medium","GBP","fault","phone","I attempted to fix a leaky faucet with duct tape, but the pressure built up and caused a small water explosion in my bathroom.","motor","NIR","26.07.2023 21:45:43"
"8373371124446","Road Risks","closed","$!C$@LY!#6#$9!#6$5$5@!4!$YJ","11.02.2019","30.07.2026 22:59:21","Dundee Derivatives Brokers","medium","GBP","fault","web","I thought it would be entertaining to try tightrope walking across a narrow fence, but I ended up falling into a pond.","motor","ENG","26.07.2023 21:45:43"
"7126919207929","Property","open","$@C# L!@Y1!$5! 9$ 1!#7$ 4S#!M","09.07.2021","08.08.2023 08:03:53","Surrey Structured Finance","low","EUR","non-fault","phone","I decided to test the slipperiness of a banana peel by stepping on it, but it sent me sliding across the floor and crashing into a bookshelf.","motor","WAL","26.07.2023 21:45:43"
"9805431238398","Personal Auto Line","closed","#C $L $Y@1!4!#1# 0@ 1@$6XO","27.05.2020","08.01.2026 18:12:22","Edinburgh Equity Partners","medium","EUR","","phone","I decided to test the durability of a watermelon by dropping it from a balcony, but it shattered upon impact and made a mess on the sidewalk.","motor","SCO","26.07.2023 21:45:43"
"6230639689377","Property","closed","$@CL$ Y5! 4$#7!@3 #93@N $Z","26.03.2023","23.02.2025 08:23:45","","low","GBP","fault","phone","I thought it would be funny to dress up as a scarecrow and surprise my friends in the garden, but I ended up scaring away the birds and ruining the plants.","motor","NIR","26.07.2023 21:45:43"
"6070607450202","Property","closed","! CL!@Y@!3!#2@ 9 #1$#6$#1#@Y!@G","24.04.2019","","Birmingham Bridge Capital","low","GBP","non-fault","mail","I decided to test the endurance of my trampoline by attempting a double backflip, but I overshot and landed in a tree.","motor","ENG","26.07.2023 21:45:43"
"9044649202567","Road Risks","closed"," !C!#LY6# 6@841@ 1!$V@ N","02.01.2021","31.05.2025 19:45:59","Leeds Leveraged Finance","high","GBP","not applicable","phone","I decided to test the stability of a ladder by standing on the very top, but it wobbled and I fell off.","","ENG","26.07.2023 21:45:43"
"2795097052782","Road Risks","open","$ C L@#Y@3009 @8 1$@K#@G","20.08.2021","08.12.2027 20:16:09","Cambridge Capital Solutions","high","GBP","fault","phone","While attempting to take a selfie with a wild squirrel, it mistook my phone for food and ran off with it.","motor","ENG","26.07.2023 21:45:43"
"745477052369","Personal Auto Line","closed","$C$#LY#1@8#@0 12 !4!J$J","23.08.2022","02.06.2025 14:44:05","Southampton Securities","high","GBP","not applicable","phone","I thought it would be fun to try tightrope walking between two trees, but I ended up falling and getting tangled in a clothesline.","motor","NIR","26.07.2023 21:45:43"
"3297535637513","","closed"," @C! L Y@!1@$3#!1$#0$#50!$U@!E","25.04.2022","14.04.2028 21:52:47","Dundee Investment Services","high","EUR","unknown","web","I thought it would be funny to try riding a unicycle while juggling knives, but it quickly turned into a chaotic scene with knives flying in all directions.","motor","NIR","26.07.2023 21:45:43"
"7980935351266","Personal Auto Line","open","$!C@!L $Y #6$#8#@99$!0!$4 #C@#J","23.07.2022","23.12.2023 21:21:01","Surrey Structured Finance","medium","EUR","unknown","phone","While attempting to fix a leaky roof, I accidentally stepped on a weak spot and fell through the ceiling, landing in the living room.","motor","WAL","26.07.2023 21:45:43"
"1655616560061","Road Risks","open","#$C!#L$ Y@ 4@3$6 4 @4# 8N@#W","16.04.2019","21.01.2026 06:08:10","Leeds Leveraged Finance","medium","EUR","not applicable","phone","I thought it would be fun to try tightrope walking between two trees, but I ended up falling and getting tangled in a clothesline.","motor","NIR","26.07.2023 21:45:43"
"3097416671597","Road Risks","closed","$!C L $Y@#6!07 1$#07 @P$!N","06.09.2022","02.05.2025 05:50:34","Newcastle National Wealth","low","EUR","non-fault","phone","I thought it would be entertaining to have a water gun fight in the living room, but we ended up soaking all the furniture.","motor","WAL","26.07.2023 21:45:43"
"9264527126393","Personal Auto Line","closed","@ C!#L @Y00 #1$@82#1LP","18.12.2020","21.06.2026 18:53:44","Bristol Bankers","low","GBP","fault","web","I decided to test the flotation capabilities of my inflatable pool toys by using them in a regular swimming pool, only to discover they were not designed for it and promptly deflated.","motor","SCO","26.07.2023 21:45:43"
"7761695989275","Road Risks","closed"," @C!LY #8@2#@7@#2# 0 !1@$TK","10.05.2023","","Liverpool Loan Traders","medium","EUR","unknown","phone","","motor","WAL","26.07.2023 21:45:43"
"4816608024568","Personal Auto Line","closed","CLY@$3@4@!2$01@#3@$J#G","02.11.2018","19.06.2028 14:10:17","Glasgow Gate Securities","low","EUR","unknown","phone","I decided to test the flotation capabilities of my inflatable pool toys by using them in a regular swimming pool, only to discover they were not designed for it and promptly deflated.","motor","ENG","26.07.2023 21:45:43"
"5342680023013","Road Risks","closed"," $CL!@Y$54#@02@$5$5#$ER","08.07.2020","22.06.2026 16:21:29","Dundee Derivatives Exchange","high","GBP","non-fault","web","","motor","NIR","26.07.2023 21:45:43"
"2915092610211","Property","open"," !CL#$Y#@4#@47! 6! 6! 3QK","20.03.2022","07.01.2026 17:19:29","Birmingham Bond Advisors","low","EUR","unknown","web","While trying to show off my basketball skills, I attempted a slam dunk and shattered the backboard.","motor","NIR","26.07.2023 21:45:43"
"6840828654332","Personal Auto Line","closed","!#C@ L Y$8$@31! 4#1 @8$ C!@B","08.08.2019","31.03.2025 02:27:11","Belfast Brokers","high","GBP","unknown","phone","","motor","ENG","26.07.2023 21:45:43"
"2355262025986","Commercial Auto Line","open","@!C @L$#Y$2!#8@!1 !4 @9$@6$!X$ E","","19.06.2025 22:37:04","Norfolk Investment Solutions","low","EUR","not applicable","web","I decided to test the slipperiness of a banana peel by stepping on it, but it sent me sliding across the floor and crashing into a bookshelf.","motor","WAL","26.07.2023 21:45:43"
"9683522291258","Commercial Auto Line","open"," C@#L#!Y 60$@0$!9@ 80I@#F","03.02.2022","19.06.2027 05:33:59","Southampton Securities","medium","GBP","non-fault","mail","","motor","WAL","26.07.2023 21:45:43"
"8319070734025","Commercial Auto Line","open","C#!L!@Y@$4@4!@56#$9#!4H$#W","02.03.2019","28.08.2023 16:07:53","Kent Financial Group","high","GBP","fault","web","I thought it would be entertaining to have a pillow fight in the living room, but we accidentally knocked over a vase and shattered it.","property","ENG","26.07.2023 21:45:43"
"8702872362560","Road Risks","open","@#C #L Y7 4$ 5#$7!@95! C$Y","19.06.2021","27.03.2025 14:10:12","Manchester Money Managers","low","EUR","fault","web","","","NIR","26.07.2023 21:45:43"
"2087840560431","Property","closed","#CL@#Y@!7#5# 2 !799@ R#!Q","20.03.2023","01.08.2026 08:44:40","Birmingham Bridge Capital","medium","EUR","fault","web","While trying to capture the perfect selfie with a seagull at the beach, it swooped down and stole my phone.","motor","NIR","26.07.2023 21:45:43"
"5233197731189","Property","open","C$@L$!Y@ 8$8@0 #2$5#$5$Y $S","19.12.2022","31.12.2023 18:35:02","Dundee Investment Services","high","GBP","non-fault","phone","During a yoga session, I attempted a complicated pose and accidentally knocked over an expensive vase.","motor","NIR","26.07.2023 21:45:43"
"3884230527654","Road Risks","closed","$C!$L$ Y!#8#@1#0!6 $8#$9 GZ","25.04.2019","17.08.2024 03:45:26","Surrey Securities","low","GBP","not applicable","phone","I thought it would be fun to ride a shopping cart down a steep hill, but it quickly got out of control and crashed into a parked car.","motor","ENG","26.07.2023 21:45:43"
"1662365557082","Commercial Auto Line","closed","!#C#L@Y@6$4@6 1@$5@#5! TZ","21.09.2022","18.06.2026 13:59:37","Birmingham Bond Traders","high","EUR","fault","web","I thought it would be funny to dress up as a scarecrow and surprise my friends in the garden, but I ended up scaring away the birds and ruining the plants.","","SCO","26.07.2023 21:45:43"
"9214828251034","Property","closed","$!C!$L!Y #9!#846@!9$ 9J!Q","17.02.2023","17.10.2024 13:35:13","Edinburgh Elite Equity","medium","GBP","non-fault","phone","While attempting to capture a spider in my house, I accidentally knocked over a shelf, causing a chain reaction that toppled multiple shelves.","motor","NIR","26.07.2023 21:45:43"
"594470573423","Personal Auto Line","closed","C L #Y1!$5#!4@!4$1$!9!X@#B","14.10.2020","08.01.2024 19:00:06","Edinburgh Emerging Wealth","low","EUR","non-fault","web","I thought it would be fun to try tightrope walking between two trees, but I ended up falling and getting tangled in a clothesline.","motor","SCO","26.07.2023 21:45:43"
"7450070231505","Road Risks","open","C$@L#Y@$2#@1 @4#547#R@$R","14.01.2021","05.10.2024 15:25:42","Glasgow Gate Securities","low","EUR","non-fault","phone","While trying to take a selfie with a dolphin at the aquarium, my phone slipped out of my hand and fell into the dolphin tank.","motor","WAL","26.07.2023 21:45:43"
"8472574505025","Personal Auto Line","closed","@!C #L!$Y$#8#3@78 @3$@3#@O W","11.08.2021","21.08.2024 15:54:29","Liverpool Investment Services","medium","GBP","unknown","web","While attempting to capture a spider in my house, I accidentally knocked over a shelf, causing a chain reaction that toppled multiple shelves.","motor","NIR","26.07.2023 21:45:43"
"2961494420250","Road Risks","open","#@C@L#!Y@$1 $3$@52@$5!$4F$M","21.12.2018","27.04.2026 08:14:27","Kent Financial Group","low","GBP","unknown","phone","I decided to test the water resistance of my watch by wearing it in the shower, forgetting that it was not waterproof.","motor","ENG","26.07.2023 21:45:43"
"5346607397213","Personal Auto Line","open","#C#$L@Y# 2$#7# 0@$9@5$ 0C#@Z","16.03.2022","14.02.2026 07:23:46","Bristol Capital Advisors","medium","EUR","unknown","phone","I decided to test the durability of my smartphone by dropping it from a hot air balloon. It didn't survive the fall.","motor","SCO","26.07.2023 21:45:43"
"4356512923949","Road Risks","closed","!#C#L$Y 4 @2 @5$98$!1 C $P","13.04.2022","13.05.2025 15:10:01","Manchester Money Managers","medium","EUR","not applicable","web","I decided to test the durability of a watermelon by dropping it from a balcony, but it shattered upon impact and made a mess on the sidewalk.","motor","ENG","26.07.2023 21:45:43"
"1562139774546","Personal Auto Line","open","C!LY9#$3#!1 25#!8#$W#K","08.11.2019","31.08.2026 03:49:50","Cardiff Capital Brokers","medium","GBP","non-fault","web","I decided to test the strength of a hammock by jumping onto it from a tree branch, only to have it rip and send me crashing to the ground.","motor","SCO","26.07.2023 21:45:43"
"2724256524984","Commercial Auto Line","closed"," !C !L #Y @8$#983 @4 @3! P K","06.01.2020","25.09.2024 20:21:03","Essex Wealth Management","low","GBP","","phone","I decided to test the strength of a piñata by using a baseball bat, but I swung too hard and accidentally hit my neighbor's car.","motor","SCO","26.07.2023 21:45:43"
"7718203025482","Property","closed"," !C$L!$Y!@0# 7#2@#3 @9$#3#M@$F","29.12.2021","29.12.2026 08:34:49","Aberdeen Asset Management","low","EUR","","web","","motor","SCO","26.07.2023 21:45:43"
"7984158976330","Property","closed","C$#L$Y#@4#0 $9 !389 Z#@I","09.02.2023","24.10.2027 02:47:29","Liverpool Leveraged Finance","high","EUR","fault","phone","While attempting to climb a tree to rescue a stranded cat, I got stuck and had to be rescued myself.","motor","WAL","26.07.2023 21:45:43"
"8054391083566","Road Risks","open","#C$!L #Y!#8!@5@#2#7# 83 #A$@H","11.11.2019","03.06.2024 10:32:12","Bristol Bankers","low","","fault","web","I thought it would be funny to try tightrope walking between two trees in the park, but I ended up slipping and falling into a pond.","motor","NIR","26.07.2023 21:45:43"
"6602568924204","","closed","!C$ L@$Y5 @3$!3 #6$3!1!@O!$N","30.12.2021","12.10.2026 09:50:13","Kent Key Investments","high","GBP","fault","phone","I decided to test the strength of a chair by standing on it, but it collapsed, and I fell onto the floor.","motor","WAL","26.07.2023 21:45:43"
"3606035523832","Road Risks","closed","!@C@ L @Y!@3@ 2855! 0 #M#M","","06.07.2026 10:13:21","Bristol Capital Advisors","medium","EUR","fault","web","I decided to test the durability of my new shoes by wearing them during a muddy obstacle course race, only to have them completely ruined by the end.","motor","NIR","26.07.2023 21:45:43"
"5759627428163","Road Risks","open","@#CLY!@8 5 9 7$62$U! O","15.07.2020","27.06.2024 00:10:14","Belfast Business Brokers","low","EUR","fault","web","I thought it would be funny to dress up as a superhero and attempt to fly off a swing, but I ended up face-planting into the ground.","motor","NIR","26.07.2023 21:45:43"
"4203964446627","Road Risks","open","@C!$L!Y$!5 !8# 7@ 87!8#RC","20.01.2020","01.07.2028 23:02:48","Oxfordshire Brokers","low","EUR","fault","phone","While trying to impress my friends with my acrobatic skills, I attempted a backflip and crashed into a table full of snacks.","motor","WAL","26.07.2023 21:45:43"
"8446375170294","Commercial Auto Line","closed","#@C@!L!#Y$ 8@!261# 30#@M@ T","10.11.2018","27.10.2025 08:39:17","Birmingham Bond Traders","low","EUR","non-fault","phone","I accidentally mistook a can of spray paint for deodorant and ended up with purple armpits for a week.","motor","WAL","26.07.2023 21:45:43"
"5549583644644","Property","closed","!$C@$LY! 4 $3#!3@ 8@18#$WS","05.01.2020","28.12.2024 18:48:43","Cambridge Corporate Finance","high","GBP","fault","phone","I thought it would be fun to build a homemade water slide in the backyard, but it turned into a muddy disaster after the first slide.","","WAL","26.07.2023 21:45:43"
"3353933479775","Personal Auto Line","open","#@C@$LY#$9!908!$1$@7#I@R","02.04.2021","17.03.2026 07:26:54","Kent Financial Group","low","EUR","non-fault","phone","I decided to test the durability of my new shoes by wearing them during a muddy obstacle course race, only to have them completely ruined by the end.","motor","ENG","26.07.2023 21:45:43"
"2128383040214","Commercial Auto Line","open","@ C $L Y #79@!56@$88!G$#Z","26.12.2021","28.03.2026 23:54:27","Oxfordshire Options Trading","high","EUR","non-fault","web","I thought it would be entertaining to have a water gun fight in the living room, but we ended up soaking all the furniture.","motor","","26.07.2023 21:45:43"
"9232685284990","Personal Auto Line","open","#!C@$L$Y#$44$#86 !3$ 5@N@!S","18.02.2022","14.06.2026 07:30:50","Edinburgh Elite Equity","high","GBP","","web","I mistook my new laptop for a cutting board and accidentally sliced it with a kitchen knife.","motor","NIR","26.07.2023 21:45:43"
"231766565746","Road Risks","open","@#C$ LY#@9$@6 #4#0!$4 9!@W !O","08.01.2023","05.02.2026 16:02:13","Edinburgh Emerging Wealth","low","GBP","not applicable","web","I thought it would be funny to dress up as a scarecrow and surprise my friends in the garden, but I ended up scaring away the birds and ruining the plants.","motor","WAL","26.07.2023 21:45:43"
"8825031471774","","closed","$@CL Y@$31@#2@$6#$1#$0@#F$!T","03.08.2019","26.06.2026 00:26:05","Birmingham Bridge Capital","medium","EUR","unknown","web","I decided to test the sharpness of a kitchen knife by attempting to slice a watermelon held in my hand, resulting in a trip to the emergency room.","motor","WAL","26.07.2023 21:45:43"
"9445134526992","Road Risks","closed","@C@ L #Y!6 $8$ 6@2 6#5R Y","11.11.2020","09.08.2026 13:12:12","Oxfordshire Options Trading","medium","GBP","","web","I decided to test the durability of my running shoes by participating in a marathon, but they fell apart halfway through the race.","motor","SCO","26.07.2023 21:45:43"
"7040710911860","Personal Auto Line","closed","C@L!Y!#409$@095 U#!A","25.12.2018","01.05.2025 00:03:35","Surrey Structured Finance","medium","EUR","unknown","phone","I thought it would be funny to dress up as a superhero and attempt to fly off a low roof, but I ended up crash-landing into a bush.","motor","SCO","26.07.2023 21:45:43"
"192310592384","Property","open","#@CLY 0! 7!@6#3@$6@$0#!KC","30.05.2022","27.06.2027 09:31:38","Oxfordshire Options Advisors","high","EUR","fault","phone","","motor","NIR","26.07.2023 21:45:43"
"1221713882048","Commercial Auto Line","closed","@CL @Y$ 9#@4@8!9@7#1$#A#T","22.01.2020","10.12.2024 20:55:18","Birmingham Bond Advisors","high","EUR","unknown","phone","I decided to test the stability of a ladder by standing on the very top, but it wobbled and I fell off.","motor","WAL","26.07.2023 21:45:43"
"5841376788993","Personal Auto Line","closed","#@CL@Y$9 @0$@2 8$6@!8$ Z$#W","23.07.2019","21.10.2025 16:30:57","Glasgow Glen Securities","medium","EUR","unknown","phone","I thought it would be entertaining to try juggling eggs, but they slipped out of my hands and made a mess all over the kitchen floor.","motor","ENG","26.07.2023 21:45:43"
"5380333237716","Road Risks","open","$!C# L$ Y@5$#7$!91$6@0@#D@#F","04.03.2022","23.06.2026 08:33:58","Bristol Bond Brokers","low","EUR","non-fault","phone","I decided to test the slipperiness of a banana peel by stepping on it, but it sent me sliding across the floor and crashing into a bookshelf.","motor","SCO","26.07.2023 21:45:43"
"1080271307047","Commercial Auto Line","open","@!C $L$#Y$@1@!22!$7! 8!$9AI","10.09.2021","","Liverpool Lenders","low","EUR","unknown","web","I thought it would be entertaining to try juggling eggs, but they slipped out of my hands and made a mess all over the kitchen floor.","","WAL","26.07.2023 21:45:43"
"2245564265399","Property","closed","!#C$!LY$3@$6@#0 $7#@2!#9EZ","16.06.2021","02.11.2027 06:15:23","Nottinghamshire Wealth","low","EUR","not applicable","phone","I thought it would be fun to build a homemade water slide in the backyard, but it turned into a muddy disaster after the first slide.","motor","NIR","26.07.2023 21:45:43"
